star,date,cmt
10,2019-03-09,재밋어요 짱멋잇음 ㅜㅠㅠ  
10,2019-03-09,너무재밌어요 감동적 ㅜ  
10,2019-03-07,캡틴마블이란 영화가 캡틴마블에대해 알려지는 처음 영화여서그런지 스토리가 많이보여서 지루해보일수도있지만 마블팬으로써 잼께봣습니다 안보고 평점테러하지마요;; 쿠키영상은 소름이에요....  
7,2019-03-07,관람객고양이가 젤좋았어요 귀여워  
10,2019-03-09,개존잼 진짜 넋놓고 봤다 쿠키무조건 바야함 ㅎㄷㄷ  
10,2019-03-09,최고의 마블영화 시원시원한 액선  
10,2019-03-09,브리 라슨 개멋잇다 진짜 최고  
10,2019-03-06,재밌고 유익하고 최고였다  
10,2019-03-09,관람객최고ㅜㅜ 당신이 나의빛  
10,2019-03-07,방금 조조로봤는데 남자들 60퍼는 넘어보임 ㅋ 그리고 마블시리즈 첫편중 제일 잘만든 첫편임.성범죄자 감독은 돌아오라 ㅈ.ㄹ떠는 것들이 못생겼다 페미다 욕하는 꼬라지보면 수준 나오쥬?  
8,2019-03-07,재밌는데 왜 욕쳐먹는지 모르겠는 영화. 니네 영화 보고 까는 건 맞지?  
10,2019-03-06,진쨬ㅋㅋㅋㅋ 내가 다 쌔진기분...  
1,2019-03-06,솔직히 말해서 이번 캡틴마블은 망한거같다 마블영화 좋아하는사람으로써 이거는 진짜 실망이다...  
1,2019-03-06,와... 무슨 82키로김뭐시기급 ㅋㅋ  
10,2019-03-09,이 영화를 보고 자랄 어린이들과 청소년들이 부럽습니다 너무 재밌게 봤어요ㅠㅠ 구스 귀여워요ㅠㅠ  
10,2019-03-09,개존잼 정말 멋있는 영화  
10,2019-03-09,열등감을 표출한다는 것은 자신의 위치를 철저히 잘 깨닫고 있기 때문이겠지  
10,2019-03-09,"영화 전개랑 웃음 요소, 비판 요소를 구분 못하는 사람들 후기는 볼 필요 없고 보고 싶으면 진짜 보면 좋은 영화임 페미에 과잉반응하는 거 진짜 이해 못 하겠고 영화 스토리랑 완성도를 단지 자기배알 꼴린다고  평가하는 게 너무 한심함  "
10,2019-03-07,고양이좋아해서 보러갔다... 옳은 선택이었다... 고양이 최고..  
10,2019-03-08,관람객마블 시리즈 몇번씩 본 팬입니다 이번 캡틴 마블도 재밌네용 그냥 댓글 테러 신경쓰지 마시고 보세요. 일부 할일없는 사람들이 난장판을 쳐놨네요 부지런도 해라 ㅠ  
10,2019-03-09,충실하게 마블스러운 영화  
10,2019-03-09,그남들 평점테러 존웃ㅋㅋ여윽시 돈 안드는 일은 제일 잘하죠? 그렇게 쿵쾅대더니 불매 1도 안되노ㅜ 영화관에 형냐들 존많이더라~  
10,2019-03-09,별점테러 왜하는지 모르는; 완전 재밌음!!  
10,2019-03-09,오~나의  새로운 캡틴! 캐롤 댄버스!!♡  
10,2019-03-09,관람객재밌게 잘 봤습니다.굳굳  
10,2019-03-09,지금까지 이런 쎈캐는 없었다. 멋지고 까리하고 다 해먹음  
10,2019-03-09,진짜 재밌음..진짜 거짓말 아니고 나 마블 전편 다봤는데.. 여기 무슨 페미라는 단어에 예민한 분들 많이 몰려와서 영화 보지도 않고 재미없다고 방구석 찌질이 행위하는것 같은데 진짜 보고 말하길  
10,2019-03-06,존잼존잼존잼존잼존잼  
10,2019-03-09,개봉일 아침 9시 되자마자 영화 보지도 않고 평점 1점 폭탄 테러한 답없는 놈들 뵈기 싫어서 10점준다 혐오에 빠져 허우적 거리는 것들 남자 망신 다 시키고 있네  
10,2019-03-09,아래댓글들 중에 짜증나는 거 개많다 난 재밌게 잘봤는데 굳이 브리 라슨 얼굴 까내리면서 말하는 게ㅋㅋㅋ 너무 우습고 보기 안쓰러움  
10,2019-03-07,댓글들 진짜 웃기네 본인들이 거른다고 쟤네가 손해볼 것 같은가...  
10,2019-03-10,페미페미 떠드는 너네때문에 그런가 기대를 안하고 보게됬는데 핵잼이더라 보지도 않았는데 평점달지마라 좀 객관성 떨어진다 그냥 닥치고 있던지  
10,2019-03-09,난 재밌는데 크크크 쿄쿄쿄  
10,2019-03-09,평점이 왜이런진 몰라도 영화는 재밌고 좋았습니다!!  
10,2019-03-09,좋아요 이걸페미라고하는사람들은 일베인가봄  
10,2019-03-06,재미만 있더라 뭐가 맘에안들어평점 저따위로주는지 원  
10,2019-03-09,재밌어요~ 관람객 평점이랑 차이나는거 봐 ㅋㅋ 그냥 1점으로 테러하는 사람들 너무 웃김 존잼!  
10,2019-03-09,캡마사랑해요 짱 멋져ㅠㅠㅠ  
10,2019-03-09,엥 페미 어쩌구 하는 사람들은 영화 본거 맞음? 떡밥도 많이 풀리고 재밌기만 하더만 ㅋㅋ  
10,2019-03-10,타노스 이제 긴장좀 타야될듯 ㅋㅋ  
9,2019-03-06,영화를 평가하려고 만든 페이지를 악플로 도배해놓는곳은 네이버 평점밖에 없을듯 반성좀하셈..  
10,2019-03-06,이야기 정말 잘 풀어낸거 같다.믿고보는마블  
10,2019-03-06,관람객 평점이랑 네티즌 평점 차이봐^^;  
10,2019-03-06,재미만 있구만? 미친 평점테러리스트들.  
1,2019-03-06,마블의 유일한 실수...  
4,2019-03-07,관람객좀 실망.... 퇴근하고 냅다 달려가서 본건데...ㅠ 액션이 너무 엉망  
10,2019-03-09,잼게 잘봤음 담주에 한번 더 볼겁니다  
10,2019-03-09,평점 먼저 봤다가 난리길레 대체 어느정도길레 이러나 싶어서 기대 안하고 봤더니 너무 재밌었어요. 도대체 영화는 보고 말하는 건지? 진짜 헛소리하지 마세요;  
10,2019-03-09,전형적인 마블 히어로물! 전투씬은 역대 마블 영화 중에 가장 좋았음. 스페이드 게임하는 느낌. 히어로물답게 주인공이 한계를 극복하고 성장하는 모습이 인상 깊었음bb  
10,2019-03-09,보는 내내 가슴벅차기도 하면서 액션신도 정말 멋있고 마블 특유의 개그가 중간중간 들어있는데 엄청 재밌게 봤어요! 브리라슨 연기도 정말 대단하네요!! 마블 영화 좋아하시는 분들이라면 꼭 보세요.  
10,2019-03-09,관람객영화재밌게봣는데 댓글보고 놀랬네요...재밌습니다^^~  
10,2019-03-09,기대를 안하고 봐서 그런지 모르겠지만 개인적으로 재미있었다.  
9,2019-03-09,관람평에 재미없다는 이야기가 많아서 고민했었는데 보기 잘했다는 생각이 들었다 흔치 않은 여성히어로물이라 좋았고 다음 어벤져스가 기대된다. 무엇보다 재미있었다. 일부 평점을 보고 한국의 낮은 관람평수준을 알수있었다 ^^  
10,2019-03-09,관람객평점 왜이렇지..? 재밌던데  
1,2019-03-06,알리타 보다 영화적 매력 떨어집니다  
10,2019-03-10,정말 재밌네요 마블팬으로서도 만족스러웠고 캡마가 일어서는 장면이 굉장히 공감되고 저를 응원해 주는 느낌이었어요 누가 봐도 재밌고 좋은 영화지만 어린 여자애들이 보고 꿈과 용기를 가졌으면 좋겠습니다  
10,2019-03-09,마블 작품중에서 제일 낫고요. 서울 극장에서 봤는데 쾌적하고 좋네요.. 제발 보지도 않고 별점 테러하지마 ㅋㅋㅋ ㅋ진짜 추하다... 추해.  
10,2019-03-09,개재밌어 여성히어로물에 고양이라니  
10,2019-03-09,관람객별점테러가 무색하게 아주 재밌었습니다!!  
10,2019-03-06,마블 골수팬이라 그런지 난 그래도 응원하면서 봄  
9,2019-03-09,"평점 1점 알바가 많아서, 혹시나 하며 기대없이 봤다.  보면서 블랙홀처럼 빠져들었다. 캡틴마블이 과거를 찾아가면서 퍼즐조각을 맞추듯 흥미진진하다. 그냥 재밌다.  "
10,2019-03-09,몸매를 부각하지 않은 여성이 히어로로 나오는 영화는 처음보는 것 같아요. 진짜 재밌었어요! 간지도 철철 넘치고 멋있었고 좋았습니다!  
10,2019-03-09,최고의영화. ㅋㅋㅋㅋ 짱쎄  
10,2019-03-10,여자라고 해서 직업에 한계를 갖게 하는건 분명히 잘못된거고 그거를 고쳐나가자고 하는건데 도대체 왜 평점을 테러하는거지? 그냥 여자가 잘 되는게 싫은건가?? 아니 진짜 궁금해서  
10,2019-03-09,관람객재미있게 보고옴. 뭐가 문제지?  
10,2019-03-09,존나 재밌는데 왜 OO들이지.  
10,2019-03-10,남자들 부럽다 진심임. 나도 어릴때부터 이런거 보고 자랐으면 좋았을텐데.  
10,2019-03-09,결말 충격! 정말 재미있음흥행 예상  
8,2019-03-09,관람객평점왜이래 ㅋㅋ 난 재밌게잘봐쑴  
10,2019-03-09,관람객나는 만족했다 다른분들은 모르겠지만  
10,2019-03-07,아이언맨은 강간에 성추행에 마약에 아동폭행에 인종차별 발언 했는데 남자라서 욕안고 스타로드는 성추행에 동물유기에 동물 학대에 인종 차별햇는대 남자라서 욕안먹고 캡틴마블은 여자가 스탠리 모독이랑 입털었다고. 매장하네 니들 성차별인건 자각은 하냐 ㅋㅋ?  
10,2019-03-06,세계관최강자 캡틴마블영화 다웠다. 인생영화 액션 진짜 화려하고 스토리도 너무 재미있었고 자연스럽게 앤드게임하고 연결되는것도 매우 좋았다! 그리고 고양이 씬스틸러ㅋㅋ다들 웃고 난리남 브리라슨 능청스러운 연기 압권이었다. 시간가는 줄 모르고 봤다.  
10,2019-03-07,여자 주인공이라고 후려치기히는거봐..징그럽다진짜  
10,2019-03-09,우리는 증명할 것이 없다.  
10,2019-03-09,평점이 낮은 이유는 잘 모르겠으나 ~   즐겁고  재미있게  봣어요 ~  
